Name,SubDiv
Abancourt,60
Abbeville,80
Abeilhan,34
Abergement-le-Petit,39
Abidos,64
Abilly,37
Abitain,64
Ablaincourt-Pressoir,80
Ablis,78
Ablon,14
Abondance,74
Abos,64
Abreschviller,57
Abrest,3
Abzac,33
Accous,64
Achenheim,67
Achères,78
Achery,2
Acheux-en-Vimeu,80
Achicourt,62
Achiet-le-Grand,62
Achiet-le-Petit,62
Achy,60
Acigné,35
Acquigny,27
Acy-Romance,8
Adelans,70
Adilly,79
Adissan,34
Adriers,86
Agde,34
Agel,34
Agen,47
Aghione,2B
Agincourt,54
Agmé,47
Agneaux,50
Agnetz,60
Agnières-en-Dévoluy,5
Agnin,38
Agnos,64
Agonac,24
Agon-Coutainville,50
Agos-Vidalos,65
Agris,16
Aguessac,12
Aguilcourt,2
Ahetze,64
Ahun,23
Ahuy,21
Aïcirits-Camou-Suhast,64
Aiffres,79
Aiglun,6
Aignan,32
Aignay-le-Duc,21
Aigne,34
Aigné,72
Aigre,16
Aigrefeuille-d'Aunis,17
Aigrefeuille-sur-Maine,44
Aigremont,30
Aiguebelle,73
Aigueblanche,73
Aiguefonde,81
Aigueperse,69
Aigues-Mortes,30
Aigues-Vives,11
Aigues-Vives,34
Aiguillon,47
Aillas,33
Ailleville,10
Aillevillers-et-Lyaumont,70
Ailly-sur-Noye,80
Ailly-sur-Somme,80
Aimargues,30
Aime,73
Aime-la-Plagne,73
Airaines,80
Airan,14
Aire-sur-l'Adour,40
Aire-sur-la-Lys,62
Airvault,79
Aise,74
Aiserey,21
Aisy-sur-Armançon,89
Aiton,73
Aix,19
Aix,59
Aix-en-Othe,10
Aix-en-Provence,13
Aixe-sur-Vienne,87
Aix-les-Bains,73
Aix-Villemaur-Palis,10
Aizenay,85
Aizy,2
Ajaccio,2A
Ajain,23
Alaigne,11
Alba-la-Romaine,7
Alban,81
Albas,11
Albas,46
Albé,67
Albefeuille-Lagarde,82
Albens,73
Albert,80
Albertville,73
Albestroff,57
Albi,81
Albiac,31
Albias,82
Albigny-sur-Saône,69
Albine,81
Albon,26
Alby-sur-Chéran,74
Aldudes,64
Alençon,61
Alénya,66
Aléria,2B
Alès,30
Alet-les-Bains,11
Alex,74
Alfortville,94
Algajola,2B
Algolsheim,68
Algrange,57
Alièze,39
Alignan-du-Vent,34
Alissas,7
Alixan,26
Alizay,27
Allain,54
Allaincourt,2
Allaines-Mervilliers,28
Allaire,56
Allamps,54
Allan,26
Allanche,15
Allassac,19
Allauch,13
Allègre,43
Allemans-du-Dropt,47
Allenc,48
Allenjoie,25
Allennes-les-Marais,59
Allenwiller,67
Allériot,71
Allevard,38
Allex,26
Alligny-en-Morvan,58
Allinges,74
Allogny,18
Allonne,60
Allonnes,28
Allonnes,72
Allonville,80
Allonzier-la-Caille,74
Allouagne,62
Allouville-Bellefosse,76
Ally,43
Almont-les-Junies,12
Aloxe-Corton,21
Alteckendorf,67
Althen-des-Paluds,84
Altillac,19
Altkirch,68
Altorf,67
Altwiller,67
Aluze,71
Alvignac,46
Alzing,57
Alzon,30
Alzonne,11
Amagne,8
Amance,54
Amance,70
Amancy,74
Amayé-sur-Orne,14
Ambarès-et-Lagrave,33
Ambazac,87
Ambérieu-en-Bugey,1
Ambérieux,69
Ambérieux-en-Dombes,1
Ambernac,16
Ambert,63
Ambès,33
Ambierle,42
Ambillou,37
Ambillou-Château,49
Ambilly,74
Amblainville,60
Ambleteuse,62
Ambleville,16
Ambly-Fleury,8
Ambly-sur-Meuse,55
Amboise,37
Ambonnay,51
Ambricourt,62
Ambrières-les-Vallées,53
Ambronay,1
Ambrumesnil,76
Amécourt,27
Amélie-les-Bains-Palalda,66
Amendeuix-Oneix,64
Amenoncourt,54
Ames,62
Amfreville,50
Amfreville,14
Amfreville-la-Campagne,27
Amfreville-la-Mi-Voie,76
Amiens,80
Amillis,77
Amilly,45
Amions,42
Ammerschwihr,68
Amnéville,57
Amoncourt,70
Amou,40
Amphion les Bains,74
Amplepuis,69
Ampoigné,53
Ampuis,69
Amy,60
Anais,16
Anan,31
Ancenis,44
Ancerville,55
Ancerville,57
Anché,86
Ancier,70
Ancy-le-Franc,89
Ancy-sur-Moselle,57
Andance,7
Andancette,26
Andard,49
Andé,27
Andelnans,90
Andelot-Blancheville,52
Andelot-en-Montagne,39
Andernos-les-Bains,33
Andert-et-Condon,1
Andeville,60
Andillac,81
Andilly,95
Andilly,17
Andilly-en-Bassigny,52
Andiran,47
Andolsheim,68
Andon,6
Andouillé,53
Andrest,65
Andrésy,79
Andrezé,49
Andrezel,77
Andrézieux-Bouthéon,42
Anduze,30
Anet,28
Angé,41
Angeac-Champagne,16
Angeac-Charente,16
Angers,49
Angerville,91
Angerville-Bailleul,76
Angerville-la-Campagne,27
Angervilliers,91
Angeville,82
Anglade,33
Anglars-Nozac,46
Anglefort,1
Anglemont,88
Anglès,81
Anglet,64
Anglure,51
Angoulême,16
Angoulins,17
Angres,62
Angresse,40
Anguilcourt-le-Sart,2
Angy,60
Aniane,34
Aniche,59
Anizy-le-Château,2
Anjou,38
Anjouin,36
Anjoutey,90
Annay,58
Annay,62
Annecy,74
Annecy-le-Vieux,74
Annemasse,74
Annequin,62
Annesse-et-Beaulieu,24
Annet-sur-Marne,77
Anneville-Ambourville,76
Anneville-sur-Scie,76
Anneyron,26
Annezin,62
Annoire,39
Annonay,7
Annoville,50
Annullin,59
Anor,59
Anould,88
Ansac-sur-Vienne,16
Anse,69
Ansouis,84
Anteuil,25
Antheny,8
Anthon,38
Anthy-sur-Léman,74
Antibes,6
Antignac,15
Antignac,31
Antigny,85
Antilly,60
Antisanti,2B
Antony/Paris,92
Antrain,35
Antran,86
Antugnac,11
Antully,71
Anvin,62
Anzin,59
Anzin-Saint-Aubin,62
Aoste,38
Aouste-sur-Sye,26
Apach,57
Appenwihr,68
Appeville-Annebault,27
Appilly,60
Appoigny,89
Apprieu,38
Apremont,73
Apremont,85
Apt,84
Arâches,74
Aragon,11
Aramits,64
Aramon,30
Aranc,1
Arandon,38
Arbanats,33
Arbent,1
Arbérats-Sillègue,64
Arbin,73
Arbis,33
Arbois,39
Arbonne,64
Arboras,34
Arbot,52
Arbouans,25
Arbrissel,35
Arbus,64
Arcachon,33
Arcangues,64
Arçay,18
Arçay,86
Arcenant,21
Arc-en-Barrois,52
Arcens,7
Arc-et-Senans,25
Archamps,74
Arches,15
Arches,88
Archiac,17
Archignac,24
Arcins,33
Arcis-sur-Aube,10
Arc-lès-Gray,70
Arcomps,18
Arconcey,21
Arçonnay,72
Arconville,10
Arc-sous-Montenot,25
Arc-sur-Tille,21
Arcueil,94
Arcy-sur-Cure,89
Ardenay-sur-Mérize,72
Ardentes,36
Ardes,63
Ardillières,17
Ardizas,32
Ardoix,7
Ardon,45
Ardon,39
Ardres,62
Aregno,2B
Arengosse,40
Arenthon,74
Arès,33
Arfons,81
Arganchy,14
Argancy,57
Argelès-Gazost,65
Argelès-sur-Mer,66
Argeliers,11
Argelliers,34
Argences,14
Argences en Aubrac,12
Argens-Minervois,11
Argentan,61
Argentat,19
Argenteuil,95
Argenton-sur-Creuse,36
Argentré,53
Argentré-du-Plessis,35
Argent-sur-Sauldre,18
Argilly,21
Argis,1
Argonay,74
Arguves,80
Arinthod,39
Arlanc,63
Arlay,39
Arlebosc,7
Arles,13
Arleux,59
Armbouts-Cappel,59
Armentières,59
Armes,58
Armissan,11
Arnac-la-Poste,87
Arnac-Pompadour,19
Arnage,72
Arnas,69
Arnay-le-Duc,21
Arnouville,95
Arpaillargues-et-Aureillac,30
Arpajon,91
Arpajon-sur-Cère,15
Arques,62
Arques,12
Arques,11
Arques-la-Bataille,76
Arquettes,11
Arquian,58
Arrabloy,45
Arradon,56
Arras,62
Arras-sur-Rhône,7
Arreau,65
Arrens-Marsous,65
Arrentières,10
Arricau-Bordes,64
Arromanches-les-Bains,14
Arrou,28
Arrouède,32
Ars,16
Arsac,33
Arsac-en-Velay,43
Ars-en-Ré,17
Arsonval,10
Ars-sur-Moselle,57
Artagnan,65
Artas,38
Artemare,1
Artenay,45
Arthenac,17
Arthès,81
Arthez-d'Armagnac,40
Arthez-De-Béarn,64
Arthon,36
Arthon-en-Retz,44
Arthonnay,89
Artigueloutan,64
Artiguelouve,64
Artigues,83
Artigues-près-Bourdeaux,33
Artix,64
Artonne,63
Artres,59
Arudy,64
Arvant,43
Arveyres,33
Arvieu,12
Arvieux,5
Arville,77
Arzal,56
Arzano,29
Arzens,11
Arzon,56
Asasp-Arros,64
Ascain,64
Ascoux,45
Asfeld,8
Asnelles,14
Asnières-la-Giraud,17
Asnières-lès-Dijon,21
Asnières-sur-Seine,92
Asnois,86
Aspach-le-Bas,68
Aspach-le-Haut,68
Aspères,30
Asperjoc,7
Aspiran,34
Asques,33
Asquins,89
Assais-les-Jumeaux,79
Assas,34
Assé-le-Bérenger,53
Assé-le-Boisne,72
Assé-le-Riboul,72
Assenoncourt,57
Assevent,59
Assevillers,80
Assier,46
Assignan,34
Astaffort,47
Aston,9
Athée,53
Athies,62
Athies-sous-Laon,2
Athis,51
Athis-de-l'Orne,61
Athis-Mons,91
Attiches,59
Attichy,60
Attignat,1
Attigny,8
Atton,54
Aubagne,13
Aubais,30
Aubas,24
Aubazines,19
Aubenas,7
Auberchicourt,59
Aubergenville,78
Auberives-en-Royans,38
Auberives-sur-Varèze,38
Aubers,59
Aubertans,70
Aubertin,64
Aubervilliers,93
Aube-Sur-Rile,61
Aubeterre-sur-Dronne,16
Aubevoye,27
Aubie-et-Espessas,33
Aubière,63
Aubiet,32
Aubignan,84
Aubigné,49
Aubigné,35
Aubigné,79
Aubigné-Racan,72
Aubigny,62
Aubigny,80
Aubigny,85
Aubigny-au-Bac,59
Aubigny-aux-Kaisnes,2
Aubigny-en-Plaine,21
Aubigny-sur-Nère,18
Aubin,12
Aubinges,18
Aubin-Saint-Vaast,62
Aubord,30
Auboué,54
Aubréville,55
Aubrives,8
Aubry-du-Hainaut,59
Aubussargues,30
Aubusson,23
Auby,59
Aucaleuc,22
Aucamville,82
Aucamville,31
Auch,32
Auchel,62
Auchonvillers,80
Auchy-les-Mines,62
Auchy-lez-Orchies,59
Audaux,64
Audenge,33
Audierne,29
Audincourt,25
Audruicq,62
Audun-le-Roman,54
Audun-le-Tiche,57
Auffains,28
Auffargis,78
Auffay,76
Augan,56
Augé,79
Augerolles,63
Auger-Saint-Vincent,60
Augers-en-Brie,77
Auge-Saint-Médard,16
Augignac,24
Augnat,63
Augny,57
Augy,89
Aujargues,30
Aulhat-Flat,63
Aulnat,63
Aulnay-sous-Bois,93
Aulnay-sur-Mauldre,78
Aulnois-sous-Laon,2
Aulnoy,59
Aulnoye-Aymeries,59
Aulon,65
Aulus-les-Bains,9
Aumagne,17
Aumale,76
Aumelas,34
Auménancourt,51
Aumont-Aubrac,48
Aumur,39
Aunay-en-Bazois,58
Aunay-sur-Odon,14
Auneau,28
Auneuil,60
Aups,83
Auray,56
Aurec-sur-Loire,43
Aureilhan,65
Aurensan,65
Auriac-sur-Vendinelle,31
Aurice,40
Aurignac,31
Aurillac,15
Auriol,13
Auriolles,33
Aurions-Idernes,64
Auron,6
Aurons,13
Auros,33
Auroux,48
Aussac-Vadalle,16
Aussillon,81
Aussonce,8
Aussonne,31
Autechaux,25
Autechaux-Roide,25
Auterive,32
Auterive,31
Auterive,82
Auterrive,64
Autet,70
Autevielle-Saint-Martin-Bideren,64
Authe,8
Autheuil-Authouillet,27
Authevernes,27
Authie,14
Authieux-Ratiéville,76
Authon,41
Authon-du-Perche,28
Authon-la-Plaine,91
Authumes,71
Autichamp,26
Autignac,34
Autrèche,37
Autrêches,60
Autreville,2
Autreville-sur-Moselle,54
Autrey,54
Autrey-lès-Gray,70
Autruy-sur-Juine,45
Autry-Issards,3
Autry-le-Châtel,45
Autun,71
Auvers,50
Auverse,49
Auvers-Saint-Georges,91
Auvers-sous-Montfaucon,72
Auvers-sur-Oise,95
Auvillar,82
Auxelles-Bas,90
Auxerre,89
Auxey-Duresses,21
Auxi-le-Château,62
Auxon,10
Auxonne,21
Auxy,71
Auzainvilliers,88
Auzat,9
Auzat-la-Combelle,63
Auzebosc,76
Auzécourt,55
Auzeville-Tolosane,31
Auzits,12
Auzon,43
Auzouer-en-Touraine,37
Avail,36
Availles,87
Availles-en-Châtellerault,86
Availles-Limouzine,86
Availles-sur-Seiche,35
Avallon,89
Avançon,5
Avanton,86
Avelin,59
Avenay-Val-d'Or,51
Avensac,32
Avensan,33
Averdoingt,62
Avermes,3
Averton,53
Avesnelles,59
Avesnes,62
Avesnes-le-Comte,62
Avesnes-les-Aubert,59
Avesnes-sur-Helpe,59
Avessac,44
Avezac-Prat-Lahitte,65
Avèze,30
Avignon,39
Avignon,84
Avignonet,38
Avignonet-Lauragais,31
Avilley,25
Avilly-Saint-Léonard,60
Avion,62
Avirey-Lingey,10
Avize,51
Avoine,61
Avoine,37
Avoise,72
Avon,77
Avon-les-Roches,37
Avord,18
Avoriaz,74
Avoudrey,25
Avrainville,91
Avranches,50
Avrechy,60
Avressieux,73
Avricourt,57
Avrieux,73
Avrigney,70
Avrigny,60
Avrillé,49
Avrillé-les-Ponceaux,37
Awoingt,59
Axat,11
Ax-les-Thermes,9
Ay,51
Aydat,63
Aydie,64
Aydoilles,88
Ayguemorte-les-Graves,33
Ayguesvives,31
Ayguetinte,32
Ayherre,64
Aynac,46
Ayse,74
Ay-sur-Moselle,57
Aytré,17
Ayzac-Ost,65
Ayzieu,32
Azas,31
Azay-le-Brûlé,79
Azay-le-Rideau,37
Azay-sur-Cher,37
Azé,41
Azé,71
Azé,53
Azerailles,54
Azereix,65
Azillanet,34
Azille,11
Azincourt,62
Azy-sur-Marne,2
Baccarat,54
Baccon,45
Bacilly,50
Bacqueville-en-Caux,76
Baden,56
Badens,11
Badinières,38
Baerenthal,57
Bagard,30
Bagas,33
Bâgé-la-Ville,1
Bâgé-le-Châtel,1
Bages,11
Bages,66
Bagnac-sur-Célé,46
Bagneaux,89
Bagneaux-sur-Loing,77
Bagnères-de-Bigorre,65
Bagnères-de-Luchon,31
Bagneux,92
Bagneux,3
Bagneux-la-Fosse,10
Bagnizeau,17
Bagnoles,11
Bagnoles-de-l'Orne,61
Bagnolet,93
Bagnols,69
Bagnols-en-Forêt,83
Bagnols-les-Bains,48
Bagnols-sur-Cèze,30
Baguer-Morvan,35
Baho,66
Baignes-Sainte-Radegonde,16
Baigneux-les-Juifs,21
Baillargues,34
Baillé,35
Bailleau-le-Pin,28
Baillet-en-France,95
Bailleul,61
Bailleul,80
Bailleul,59
Bailleul-sur-Thérain,60
Bailleulval,62
Bailleval,60
Bailly,78
Bailly-Carrois,77
Bailly-Romainvilliers,77
Baincthun,62
Bain-de-Bretagne,35
Bains,43
Bains-sur-Oust,35
Bainville-aux-Miroirs,54
Bais,53
Bais,35
Baisieux,59
Baixas,66
Baizieux,80
Bajonnette,32
Baladou,46
Balagny-sur-Thérain,60
Balan,1
Balanod,39
Balaruc-les-Bains,34
Balbigny,42
Balbronn,67
Baldenheim,67
Baldersheim,68
Baleycourt,55
Baleyssagues,47
Balham,8
Balizac,33
Ballainvilliers,91
Ballaison,74
Ballancourt-sur-Essonne,91
Ballan-Miré,37
Ballée,53
Balleroy,14
Ballons,26
Balloy,77
Balma,31
Balnot-sur-Laignes,10
Balschwiller,68
Balsièges,48
Balzac,16
Banassac,48
Bancourt,62
Ban-de-Laveline,88
Bandol,83
Baneuil,24
Bangor,56
Bannalec,29
Bannay,18
Bannes,53
Banneville-sur-Ajon,14
Bannost-Villegagnon,77
Banteux,59
Bantouzelle,59
Bantzenheim,68
Banyuls-sur-Mer,66
Baons-le-Comte,76
Bapaume,62
Bapeaume,76
Baracé,49
Baraqueville,12
Baratier,5
Barbaggio,2B
Barbâtre,85
Barbazan-Debat,65
Barbechat,44
Barbentane,13
Barberaz,73
Barberey-Saint-Sulpice,10
Barbery,60
Barbezières,16
Barbezieux-Saint-Hilaire,16
Barbières,26
Barbonne-Fayel,51
Barby,73
Barcelonnette,4
Barembach,67
Barentin,76
Barenton,50
Barenton-Bugny,2
Barfleur,50
Barges,21
Barguelonne-en-Quercy,46
Barisey-la-Côte,54
Barjols,83
Barjouville,28
Bar-le-Duc,55
Barleux,80
Barlin,62
Barnay,71
Barneville-Carteret,50
Baron,30
Baron,33
Baronville,57
Baroville,10
Barr,67
Barraux,38
Barret,16
Barrou,37
Barsac,33
Barsac,26
Bar-sur-Aube,10
Bar-sur-Seine,10
Bart,25
Bartenheim,68
Barville,27
